50,12 febbraio 2020,Stefano R,"Ci sono entrato casualmente passando di lì ed ora é una deviazione obbligata! Fa delle pizze squisite a prezzi irrisori,anche su ordinazione. Sicuramente tra le migliori 3 che ho mai mangiato in vita mia!!"
50,14 novembre 2019,11valentina03,Vale la pena attendere per mangiare le buonissime pizze di Giustina!! Anche i prezzi sono a portata di tutti.. consigliato per un pranzo veloce!
50,6 novembre 2019,Miriam G,Chi non le conosce? Le pizzette di Giustina fanno un po' la storia di Centocelle. Sono buonissime. Il negozio è sempre pieno e le pizzette sono sfornate in continuazione.
50,19 ottobre 2019,Norgalis,"È da una vita che vado da Giustina, la pizza è buonissima, le titolari sono gentilissime e bravissime a prezzo veramente ridicolo per quello che mangi. Non potete visitare Roma senza mangiare questa meraviglia. Anzi prendete il treno e provatela ne vale la pena !!!!!"
50,19 ottobre 2019,Carlottina00,"È da una vita che vado da Giustina, e la reputo la pizzeria migliore di sempre. I prezzi sono veramente ridicoli per quello che mangi, e le titolari sono gentili e brave. Consiglio a tutti!!!!!"
40,16 ottobre 2019,Alfonso B,"Personale simpatico e disponibile, le pizzette sono solo da provare non si può raccontare la bontà del sapore della vera pizzetta scrocchiarella. Io lo consiglio vivamente e per le pizze serali meglio prenotare perché si rischia di non trovare nulla dato che le pizzette vengono fate al momento, sono sempre calde."
30,4 settembre 2019,Barbara M,"Pizzette tonde, di media qualità, servite in ambiente che non brilla ne’ per pulizia ne’ per simpatia del personale. La titolare non sorride mai, sembra ti faccia un favore a servirti questa banalissima pizzetta."
50,30 agosto 2019,marco5342,"Buone le pizzette tonde, pochi ingredienti per la scelta, ma buoni. Prezzi bassi, coda purtroppo un po'lunga ma ne vale la pena :-)"
50,2 maggio 2019,Pier Franco D,"Pizzette ottime, ben oltre l'atteso! Dimensioni superiori alla media per una pizzetta tonda con un prezzo che dire onesto è solo un eufemismo (in realtà il prezzo è basso..). Si presentano ben cotte, asciutte e prive di olio, sottili, scrocchiarelle, leggere e saporite. Alberta riempie quelle speciali in abbondanza e a fresco davanti al cliente. Si mangiano piegate in due. Non ti gonfiano e sono molto ben digeribili. Ne ho mangiate due: la classica margherita e la loro specialità con tonno fresco senza nessun problema. Da provare assolutamente. Brava Alberta!"
50,17 marzo 2019,annalupi1,"Pizza eccellente, una delle migliori mai mangiate a Roma. L'ambiente d' simpatico accogliente e amichevole. La proprietaria è cordiale e divertente."
50,17 marzo 2019,Paola A,"Che Meraviglia!!! Mai mangiato una pizza più buona... Ormai ci verrò tutte le settimane pur abitando dall'altra parte di Roma. BRAVISSIMI, COMPLIMENTI.. CONTINUATE COSÌ!!!"
50,17 marzo 2019,winnienty,"pizzette piccole la specialità. Altrimenti grandi(su ordinazione). semplicemente la migliore. pizza croccante e fina. ne mangeresti a farne indigestione.Veloci e cortesi. a volte c'è un po' di fila,ma ne vale la pena."
30,2 marzo 2019,LauraUrban,"Ambiente spartano da classica pizzeria d'asporto con una mensola e qualche sgabello per un consumo veloce, in pratica fanno solo pizzette di vari gusti a cui possono aggiungere una loro salsa o il tonno il risultato é ottimo!! Prezzi medi sotto i 2 euro cad. É possibile anche ordinare delle pizzeria tonde ma con largo anticipo vale la pena fermarsi "
50,31 gennaio 2019,Matteo M,"Ci sono davvero tutti i gusti, in particolare indimenticabili le pizze col tonno e gamberi. Unica nota dolente è l'assenza di funghi porcini tra i loro ingredienti. Ottima l'idea di servire le pizze piccole, molto pratico per l'asporto"
